Site Id,School Name,Site Name,Protocol,Data Count,Latitude,Longitude,Elevation
366971,2-11 school,10SFH440963,Land Covers,1.0,38.80371,-121.34165,35.2
366969,2-11 school,Test,Land Covers,1.0,38.8042,-121.3412,33.4
210635,2 Intermediate School Abu Arish  At Jazan,Intermediate School Abu Arish At Jazan2,Land Covers,4.0,16.97522,42.84473,65.8
368072,AEB-Escola,19QDA067429,Land Covers,1.0,18.47439,-69.8837,13.9
368187,AEB-Escola,19QDA067431,Land Covers,1.0,18.4762,-69.88371,11.8
101402,Al-Matan Intermediate and Secondary Girls School at Sabya,Al_matan Intermediate and Secondary  school,Land Covers,3.0,17.42996,42.54965,99.5
300391,Al Yamamah Secondary School,موقع 1,Land Covers,1.0,24.63266,46.71249,760.0
300392,Al Yamamah Secondary School,موقع 2,Land Covers,1.0,24.60876,46.68328,760.0
367186,Baad School,40QFL372537,Land Covers,2.0,23.08628,58.33955,673.3
366869,Belgium Citizen Science,31UFS822693,Land Covers,3.0,51.14611,5.60495,43.0
367506,Belgium Citizen Science,31UFS823702,Land Covers,1.0,51.15417,5.60683,39.5
367504,Belgium Citizen Science,31UFS823705,Land Covers,1.0,51.15686,5.60698,40.8
368203,Belgium Citizen Science,31UFS824705,Land Covers,1.0,51.15683,5.60841,40.2
366877,Belgium Citizen Science,31UFS824706,Land Covers,1.0,51.15773,5.60846,41.9
367505,Belgium Citizen Science,31UFS824710,Land Covers,2.0,51.16132,5.60866,39.4
366878,Belgium Citizen Science,31UFS824711,Land Covers,1.0,51.16222,5.60872,44.4
366875,Belgium Citizen Science,31UFS825702,Land Covers,2.0,51.1541,5.60969,39.1
366873,Belgium Citizen Science,31UFS826693,Land Covers,1.0,51.14599,5.61066,41.2
366506,Belgium Citizen Science,31UFS827300,Land Covers,1.0,50.79291,5.59235,105.5
367507,Belgium Citizen Science,31UFS827693,Land Covers,1.0,51.14596,5.61209,41.0
362215,Belgium Citizen Science,31UFS828301,Land Covers,17.0,50.79378,5.59381,103.3
363048,Belgium Citizen Science,31UFS829301,Land Covers,3.0,50.79375,5.59523,104.7
367016,Belgium Citizen Science,31UFS830302,Land Covers,1.0,50.79462,5.5967,104.2
368669,Belgium Citizen Science,31UFS831302,Land Covers,1.0,50.79458,5.59812,104.7
368670,Belgium Citizen Science,31UFS833303,Land Covers,1.0,50.79542,5.601,102.5
368671,Belgium Citizen Science,31UFS835304,Land Covers,1.0,50.79625,5.60389,100.7
368672,Belgium Citizen Science,31UFS836306,Land Covers,1.0,50.79802,5.6054,104.8
368673,Belgium Citizen Science,31UFS837306,Land Covers,1.0,50.79799,5.60682,100.3
368087,Benjamin Franklin Science Corner,19QDA067429,Land Covers,2.0,18.47439,-69.8837,13.9
368088,Benjamin Franklin Science Corner,19QDA068429,Land Covers,1.0,18.4744,-69.88275,7.1
346344,Bishop Conaty-Our Lady of Loretto High School,11SLT797680,Land Covers,1.0,34.0458,-118.30334,63.8
105005,Boleslaw Prus Primary School No. 1 in Gora,33UXT064246,Land Covers,6.0,51.6623,16.53837,88.2
367245,Bowling Green State University (USOHP793),17TKG827219,Land Covers,1.0,41.71922,-83.61228,190.2
367898,Bozeman Field School ,12TVR985437,Land Covers,1.0,45.54684,-111.01922,2052.0
366730,Brazil Citizen Science,22JDS514932,Land Covers,1.0,-25.37717,-51.4831,1050.3
368664,Brazil Citizen Science,24MXT991457,Land Covers,1.0,-6.8207,-37.19836,212.3
368665,Brazil Citizen Science,24MXT991458,Land Covers,1.0,-6.8198,-37.19836,211.0
368667,Brazil Citizen Science,24MXT991459,Land Covers,1.0,-6.81889,-37.19837,210.8
366901,Brazil Citizen Science,25MBP533549,Land Covers,1.0,-5.83181,-35.22793,41.6
365900,Canada Citizen Science,12UUE381426,Land Covers,1.0,53.60717,-113.44713,678.9
365899,Canada Citizen Science,12UUE385454,Land Covers,1.0,53.63243,-113.44254,684.8
365893,Canada Citizen Science,12UUE388425,Land Covers,1.0,53.60648,-113.43651,677.6
365868,Canada Citizen Science,12UUE389419,Land Covers,1.0,53.60113,-113.43469,665.2
365892,Canada Citizen Science,12UUE390425,Land Covers,1.0,53.60655,-113.43349,676.6
365898,Canada Citizen Science,12UUE392455,Land Covers,1.0,53.63355,-113.43202,689.6
365897,Canada Citizen Science,12UUE400453,Land Covers,1.0,53.632,-113.41983,680.2
365896,Canada Citizen Science,12UUE401431,Land Covers,1.0,53.61227,-113.41718,674.9
365894,Canada Citizen Science,12UUE402431,Land Covers,1.0,53.6123,-113.41567,673.9
365895,Canada Citizen Science,12UUE402432,Land Covers,1.0,53.6132,-113.41573,675.9
368515,Centro educativo Salesiana San Jose,19QCA994396,Land Covers,1.0,18.44424,-69.95267,46.0
368444,Centro educativo Salesiana San Jose,19QCA995396,Land Covers,1.0,18.44424,-69.95172,45.4
368445,Centro en Artes Instituto de Señoritas Salomé Ureña,19QCA994396,Land Covers,1.0,18.44424,-69.95267,46.0
366438,Champlin Park High School,11SMS955327,Land Covers,1.0,32.83233,-117.04808,94.9
368523,Champlin Park High School,14TQT242811,Land Covers,1.0,47.64444,-96.01479,370.4
367851,Champlin Park High School,15TVK421445,Land Covers,1.0,44.65153,-93.73022,231.2
368131,Champlin Park High School,15TVK664902,Land Covers,1.0,45.06446,-93.42679,274.3
367371,Champlin Park High School,15TVK703995,Land Covers,2.0,45.14835,-93.37781,265.8
366018,Champlin Park High School,15TVK704996,Land Covers,1.0,45.14926,-93.37654,266.4
364914,Champlin Park High School,15TVK706955,Land Covers,5.0,45.11236,-93.37376,267.5
366276,Champlin Park High School,15TVK718992,Land Covers,1.0,45.14571,-93.35871,264.6
365039,Champlin Park High School,15TVK719992,Land Covers,9.0,45.14572,-93.35744,261.6
365337,Champlin Park High School,15TVK719993,Land Covers,2.0,45.14662,-93.35744,266.6
366823,Champlin Park High School,15TVK719994,Land Covers,1.0,45.14752,-93.35745,268.4
365202,Champlin Park High School,15TVK719995,Land Covers,2.0,45.14842,-93.35745,265.5
